Time,Type,Gesture,Foot,Direction,Checkpoint,TrackerName,pos_x,pos_y,pos_z,ang_x,ang_y,ang_z
1675281184183, I, Head,,,,, -0.83546, 1.90427, -5.7601, 279.66473, 295.40576, 240.44499
1675281184193, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184193, I, TrackerR,,,,, -0.83688, 1.90388, -5.7589, 279.86035, 295.01889, 240.8392
1675281184193, I, TrackerH,,,,, -0.83688, 1.90388, -5.7589, 279.86035, 295.01889, 240.83917
1675281184194, I, FootR,,,,, -0.83688, 1.90388, -5.7589, 279.86035, 295.01889, 240.8392
1675281184194, I, Head,,,,, -0.83688, 1.90388, -5.7589, 279.86035, 295.01889, 240.83917
1675281184205, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184205, I, TrackerR,,,,, -0.83864, 1.90391, -5.75803, 280.03018, 294.27579, 241.616
1675281184205, I, TrackerH,,,,, -0.83864, 1.90391, -5.75803, 280.03018, 294.27579, 241.61595
1675281184205, I, FootR,,,,, -0.83864, 1.90391, -5.75803, 280.03018, 294.27579, 241.616
1675281184205, I, Head,,,,, -0.83864, 1.90391, -5.75803, 280.03018, 294.27579, 241.61595
1675281184216, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184216, I, TrackerR,,,,, -0.84034, 1.90384, -5.75717, 280.16449, 293.36139, 242.5919
1675281184216, I, TrackerH,,,,, -0.84034, 1.90384, -5.75717, 280.16449, 293.36139, 242.59186
1675281184216, I, FootR,,,,, -0.84034, 1.90384, -5.75717, 280.16449, 293.36139, 242.5919
1675281184216, I, Head,,,,, -0.84034, 1.90384, -5.75717, 280.16449, 293.36139, 242.59186
1675281184227, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184227, I, TrackerR,,,,, -0.84214, 1.90375, -5.75631, 280.27701, 292.31964, 243.7046
1675281184227, I, TrackerH,,,,, -0.84214, 1.90375, -5.75631, 280.27701, 292.31964, 243.70456
1675281184228, I, FootR,,,,, -0.84214, 1.90375, -5.75631, 280.27701, 292.31964, 243.7046
1675281184228, I, Head,,,,, -0.84214, 1.90375, -5.75631, 280.27701, 292.31964, 243.70456
1675281184238, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184238, I, TrackerR,,,,, -0.84391, 1.90368, -5.75555, 280.37338, 291.48236, 244.6189
1675281184239, I, TrackerH,,,,, -0.84391, 1.90368, -5.75555, 280.37338, 291.48236, 244.61887
1675281184239, I, FootR,,,,, -0.84391, 1.90368, -5.75555, 280.37338, 291.48236, 244.6189
1675281184239, I, Head,,,,, -0.84391, 1.90368, -5.75555, 280.37338, 291.48236, 244.61887
1675281184249, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184249, I, TrackerR,,,,, -0.8461, 1.90401, -5.75466, 280.41464, 290.57007, 245.647
1675281184249, I, TrackerH,,,,, -0.8461, 1.90401, -5.75466, 280.41464, 290.57007, 245.64696
1675281184249, I, FootR,,,,, -0.8461, 1.90401, -5.75466, 280.41464, 290.57007, 245.647
1675281184249, I, Head,,,,, -0.8461, 1.90401, -5.75466, 280.41464, 290.57007, 245.64696
1675281184260, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184260, I, TrackerR,,,,, -0.848, 1.90392, -5.75351, 280.45825, 289.74716, 246.593
1675281184260, I, TrackerH,,,,, -0.848, 1.90392, -5.75351, 280.45825, 289.74716, 246.59305
1675281184260, I, FootR,,,,, -0.848, 1.90392, -5.75351, 280.45825, 289.74716, 246.593
1675281184260, I, Head,,,,, -0.848, 1.90392, -5.75351, 280.45825, 289.74716, 246.59305
1675281184271, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184271, I, TrackerR,,,,, -0.84993, 1.90364, -5.75243, 280.47601, 289.25623, 247.2165
1675281184271, I, TrackerH,,,,, -0.84993, 1.90364, -5.75243, 280.47601, 289.25623, 247.21649
1675281184272, I, FootR,,,,, -0.84993, 1.90364, -5.75243, 280.47601, 289.25623, 247.2165
1675281184272, I, Head,,,,, -0.84993, 1.90364, -5.75243, 280.47601, 289.25623, 247.21649
1675281184282, I, TrackerL,,,,, -1.7858, 2.57837, 1.48311, 38.26742, 81.05367, 354.774
1675281184283, I, TrackerR,,,,, -0.85169, 1.90321, -5.75126, 280.47046, 288.85992, 247.7678
1675281184283, I, TrackerH,,,,, -0.85169, 1.90321, -5.75126, 280.47046, 288.85992, 247.76776
1675281184283, I, FootR,,,,, -0.85169, 1.90321, -5.75126, 280.47046, 288.85992, 247.7678
1675281184283, I, Head,,,,, -0.85169, 1.90321, -5.75126, 280.47046, 288.85992, 247.76776
